172.16.0.0,10.0.0.0
172.16.0.0,10.0.0.3
172.16.0.0,10.0.0.7
172.16.0.0,10.0.0.8
172.16.0.0,10.0.0.9
172.16.0.0,10.0.0.10
172.16.0.0,10.0.0.11
172.16.0.0,10.0.0.17
172.16.0.0,10.0.0.18
172.16.0.0,10.0.0.19
172.16.0.0,10.0.0.22
172.16.0.0,10.0.0.23
172.16.0.0,10.0.0.24
172.16.1.0,10.1.0.1
172.16.1.0,10.1.0.2
172.16.1.0,10.1.0.3
172.16.1.0,10.1.0.4
172.16.1.0,10.1.0.5
172.16.1.0,10.1.0.7
172.16.1.0,10.1.0.12
172.16.1.0,10.1.0.13
172.16.1.0,10.1.0.16
172.16.1.0,10.1.0.18
172.16.1.0,10.1.0.19
172.16.1.0,10.1.0.20
172.16.1.0,10.1.0.21
172.16.1.0,10.1.0.23
172.16.1.0,10.1.0.24
172.16.1.0,10.1.0.25
172.16.1.0,10.1.0.28
172.16.1.0,10.1.0.29
172.16.1.0,10.1.0.32
172.16.1.0,10.1.0.34
172.16.1.0,10.1.0.37
172.16.1.0,10.1.0.40
172.16.1.0,10.1.0.41
172.16.1.0,10.1.0.43
172.16.1.0,10.1.0.45
172.16.1.0,10.1.0.46
172.16.1.0,10.1.0.47
172.16.1.0,10.1.0.49
172.16.1.0,10.1.0.50
172.16.1.0,10.1.0.51
172.16.1.0,10.1.0.53
172.16.1.0,10.1.0.54
172.16.1.0,10.1.0.55
172.16.1.0,10.1.0.56
172.16.1.0,10.1.0.59
172.16.1.0,10.1.0.61
172.16.1.0,10.1.0.62
172.16.1.0,10.1.0.63
172.16.1.0,10.1.0.64
172.16.1.0,10.1.0.66
172.16.1.0,10.1.0.69
172.16.1.0,10.1.0.70
172.16.1.0,10.1.0.76
172.16.1.0,10.1.0.78
172.16.2.0,10.2.0.0
172.16.2.0,10.2.0.3
172.16.2.0,10.2.0.4
172.16.2.0,10.2.0.6
172.16.2.0,10.2.0.8
172.16.2.0,10.2.0.12
172.16.2.0,10.2.0.14
172.16.2.0,10.2.0.16
172.16.2.0,10.2.0.17
172.16.2.0,10.2.0.20
172.16.2.0,10.2.0.23
172.16.2.0,10.2.0.25
172.16.2.0,10.2.0.31
172.16.2.0,10.2.0.32
172.16.2.0,10.2.0.33
172.16.2.0,10.2.0.34
172.16.2.0,10.2.0.36
172.16.2.0,10.2.0.41
172.16.2.0,10.2.0.44
172.16.3.0,10.3.0.1
172.16.3.0,10.3.0.3
172.16.3.0,10.3.0.5
172.16.3.0,10.3.0.6
172.16.3.0,10.3.0.7
172.16.3.0,10.3.0.8
172.16.3.0,10.3.0.10
172.16.3.0,10.3.0.11
